WKT,id_techo,tipo_edifi,tipo_techo,edificio,direccion,tipo_siste,capacidad,caracteris,proveedor,fecha_inst,link,foto,calle,altura,calle2,direccion_,barrio,comuna,energia_an_kwh,mitig_an_tCO2eq,energia_acum_kwh,mitig_acum_tCO2eq
POINT (-58.4662102207881 -34.6639068022041),1,Público,Solar Fotovoltaico,CIFA,Av Escalada y Av Castañares,On-Grid,19660 Wp,"- INSTALACION SOLAR FOTOVOLTAICA ""Paneles convencionales"" ; 82 paneles ; 3 inversores trifasicos - Potencia de acople: 18000 VA ; Monitoreo en tiempo real ---> Sunny Portal: www.goo.gl/QTlDcj""""",ALDAR,2011,http://goo.gl/QTlDcj,repok/static/techosinteligentes/techos_amarillos_1.JPG,ESCALADA AV.,,CASTAÑARES AV.,ESCALADA AV. y CASTAÑARES AV.,Villa Soldati,Comuna 8,31025,13.96,310250,139.60
POINT (-58.3746633515549 -34.6095181480613),2,Público,Solar Fotovoltaico,Legislatura de la Ciudad de Buenos Aires,Perú 130,On-Grid,26000 Wp,"96 módulos de silicio policristalino de 270 Wp, distribuidos en 16 filas de 6 módulos. - 2 inversores marca SMA Modelo STP 15000Tl-10 de 15 kVA.",SOLARTEC,2014,http://www.buenosaires.gob.ar/noticias/la-legislatura-inauguro-un-sistema-electrico-con-paneles-solares,repok/static/techosinteligentes/ID_2_SSFV.jpg,PERU,130,,PERU 130,Monserrat,Comuna 1,48400,23.47,338800,164.29
POINT (-58.458914509259 -34.5826131064903),3,Privado,Solar Fotovoltaico,Fundación Greenpeace Argentina,Zabala 3873,On-Grid,1700 Wp,"750Wp: 10 módulos fotovoltaicos KS 75 (celdas Kyocera, módulo Solartec), de 75W cada uno, con un inversor SMA SB 700. - 960Wp: 12 módulos KS 80 (celdas Kyocera, módulo Solartec), de 80W cada uno, inversor ATERSA TAURO PR 1000/3.",Desarrollo Greenpowerinstalación Sursolar,2005,http://www.greenpeace.org/argentina/es/sobre-nosotros/Nuestra-oficina-sustentable/,repok/static/techosinteligentes/ID_3_SSFV.jpg,ZABALA,3873,,ZABALA 3873,Chacarita,Comuna 15,2635,1.18,42160,18.88
POINT (-58.4589145092589 -34.5826131064903),3 BIS,Privado,Solar Fotovoltaico,Fundación Greenpeace Argentina,Zabala 3873,Off-Grid,120 Wp,Instalación fotovoltaica autónoma que alimenta una bomba centrífuga a corriente continua. - 120Wp. Batería Autobat Solar 115Wh. Bomba Shurflo 2088 12V CC. Regulador de carga Solartec SRX 10.,Desarrollo Greenpowerinstalación Sursolar,2005,http://www.greenpeace.org/argentina/es/sobre-nosotros/Nuestra-oficina-sustentable/,repok/static/techosinteligentes/ID_3_SSFV.jpg,ZABALA,3873,,ZABALA 3873,Chacarita,Comuna 15,186,0.08,2976,1.34
POINT (-58.37235210010887 -34.60303182417196),4,Privado,Solar Fotovoltaico,Aseguradora Allianz,Corrientes 299,On-Grid,520 Wp,Paneles fotovoltaicos para la iluminacion led de la fachada. Ademas cuenta con dos molinos eólicos de eje vertical HelixWind de 2 kW cada uno.,WulconEnergy,2016,,repok/static/techosinteligentes/ID_4_SSFV.jpg,CORRIENTES AV.,299,,CORRIENTES AV. 299,San Nicolas,Comuna 1,735,0.33,3675,1.65
POINT (-58.4350506797019 -34.6049167701416),5,Privado,Solar Fotovoltaico,Observatorio de la CABA - Parque Centenario,Av Patricias Argentinas 550,On-Grid,1920 Wp,8 módulos de 240 Wp c/u.,IRESUD / SOLARWORLD,2012,http://iresud.com.ar,repok/static/techosinteligentes/ID_5_SSFV.jpg,PATRICIAS ARGENTINAS AV.,500,,PATRICIAS ARGENTINAS AV. 500,Caballito,Comuna 6,2976,1.34,26784,12.05
POINT (-58.4287197649769 -34.5826116524337),6,Público,Solar Fotovoltaico,"Ministerio de Ciencia, Tecnología e Innovación Productiva de la Nación",Godoy Cruz 2320,On-Grid,40035 Wp,"2 inversores de conexion a red de 20 kW cada uno. - Datos de la Instalacion : http://www.aldar.com.ar/proyectos-realizados-helport.php ; Angulo de inclinacion:15°;"" Acimut:-152°",ALDAR,2014,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?plant=3e9073c1-7dfc-46f0-8ca3-267de0084e0a&splang=,repok/static/techosinteligentes/ID_6_SSFV.jpg,GODOY CRUZ,2320,,GODOY CRUZ 2320,PALERMO,Comuna 14,60254,27.11,421778,189.80
POINT (-58.4363106407833 -34.5841532530557),7,Privado,Solar Fotovoltaico,Particular,Fitz Roy y Hounduras,Off-Grid,960 Wp,"8 baterías, 1800 Wh",SUSTENTATOR,2014,,,FITZ ROY,,HONDURAS,FITZ ROY y HONDURAS,Palermo,Comuna 14,1488,0.67,10416,4.69
POINT (-58.3939246688747 -34.6106432857655),8,Público,Solar Fotovoltaico,Hotel Perón,Hipólito Yrigoyen 1940,Off-Grid,5640 Wp,"16 baterías, 2700 Wh",SUSTENTATOR,2015,http://sustentator.com/energia/instalaciones.html,repok/static/techosinteligentes/ID_8_SSFV.jpg,"YRIGOYEN, HIPOLITO",1940,,"YRIGOYEN, HIPOLITO 1940",Balvanera,Comuna 3,8742,3.93,52452,23.60
POINT (-58.3932844155379 -34.6514105062191),9,Privado,Solar Fotovoltaico,Particular,-,Off-Grid,1440 Wp,"12 baterías, 2700 Wh",SUSTENTATOR,2015,,,Pedro N Arata,,Avenida General Iriarte,"ARATA, PEDRO N. e IRIARTE, GRAL., CABA",BARRACAS,Comuna 4,2232,1.00,13392,6.03
POINT (-58.3793918575445 -34.6010482118432),10,Público,Solar Fotovoltaico,Ente Nacional Regulador de la Electricidad,Suipacha 615,On-Grid,3700 Wp,20 módulos de 185 Wp cada uno,IRESUD,2014,http://iresud.com.ar/instalaciones/,repok/static/techosinteligentes/ID_10_SSFV.jpg,SUIPACHA,615,,SUIPACHA 615,San Nicolas,Comuna 1,5735,2.58,40145,18.07
POINT (-58.3701960290129 -34.6089873048221),11,Público,Solar Fotovoltaico,Palacio de Hacienda,Hipolito Yrigoyen 250,On-Grid,4465 Wp,19 módulos de 235 Wp,IRESUD/ BRANDONI,2015,http://iresud.com.ar/instalaciones/,repok/static/techosinteligentes/ID_11_SSFV.jpg,"YRIGOYEN, HIPOLITO AV.",250,,"YRIGOYEN, HIPOLITO AV. 250",Monserrat,Comuna 1,6921,3.11,41526,18.69
POINT (-58.3698217619183 -34.609675546933),12,Público,Solar Fotovoltaico,Ministerio de Energía y Minería,Av Paseo Colón 171,On-Grid,1440 Wp,8 Módulos FV de 180 Wp c/u.,IRESUD/ INF,2014,http://iresud.com.ar/instalaciones/,repok/static/techosinteligentes/ID_12_SSFV.jpg,PASEO COLON AV.,171,,PASEO COLON AV. 171,Monserrat,Comuna 1,2232,1.00,15624,7.03
POINT (-58.3781293253403 -34.6142171295477),13,Público,Solar Fotovoltaico,Defensoría del Pueblo,Venezuela 842,Off-Grid,260 Wp,4 paneles fotovoltaicos de 65 Wp cada uno. - Inversor-Cargador Marca QMAX. - Batería Marca MouraClean.,SOLARTEC,2011,http://www.defensoria.org.ar/areastematicas/ambienteenergias10.php,repok/static/techosinteligentes/ID_13_SSFV.jpg,REPUBLICA BOLIVARIANA DE VENEZUELA,842,,REPUBLICA BOLIVARIANA DE VENEZUELA 842,Monserrat,Comuna 1,403,0.18,4030,1.81
POINT (-58.363607648493 -34.6329608705269),14,Público,Solar Fotovoltaico,"Escuela Media Nº 3, Distrito Escolar Nº 4","J. M. Blanes, Palos y Wenceslao Villafañe",Off-Grid,260 Wp,"4 paneles de 65 W que alimenta un reflector a modo demostrativo.  - Baterias Trojan 24v/110Ah. - Inversor 24V/220V. 1KW - SP. - Regulador Morningstar. -Este sistema es parte de una estación didáctica. Aerogenerador 300 W, bicigenerador y horno solar",ALP GROUP,2014,,repok/static/techosinteligentes/ID_14_SSFV.jpg,PALOS,,"VILLAFAÑE, WENCESLAO","PALOS y VILLAFAÑE, WENCESLAO",Boca,Comuna 4,403,0.18,2821,1.27
POINT (-58.4404262690884 -34.6159327558872),15,Privado,Solar Fotovoltaico,Particular,,Off-Grid,600 Wp,Baterías 24 V. Sistema de generación para uso de determinados circuitos con posibilidad de back up para cortes de luz. Inversor de 3300 Watt,OPCION RENOVABLE,2013,,,Neuquén,,Parral,"NEUQUEN y PARRAL, CABA",CABALLITO,Comuna 6,930,0.42,7440,3.35
POINT (-58.44275162077699 -34.59906951428803),16,Privado,Solar Fotovoltaico,Particular,,Off-Grid,100 Wp,Baterías en 12 V. Sistema: uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.,OPCION RENOVABLE,2013,,,Gurruchaga,,Padilla,"GURRUCHAGA y PADILLA, CABA",VILLA CRESPO,Comuna 15,168,0.08,1344,0.60
POINT (-58.4265332878562 -34.5781679120106),17,Privado,Solar Fotovoltaico,Particular,,Off-Grid,200 Wp,Baterías en 12 V. Sistema para uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.,OPCION RENOVABLE,2014,,,Avenida Intendente Bullrich,,Avenida Santa Fe,"BULLRICH, INT. AV. y SANTA FE AV., CABA",PALERMO,Comuna 14,310,0.14,2170,0.98
POINT (-58.4512204397537 -34.6456387680577),18,Privado,Solar Fotovoltaico,Particular,,Off-Grid,1440 Wp,1440 Watt de paneles. Inversor cargador QMAX de 2000 Watt. Este sistema brinda la energía del 50% de los consumos energéticos del lugar,OPCION RENOVABLE,2014,,,Balbastro,,Avenida Varela,"BALBASTRO y VARELA AV., CABA",FLORES,Comuna 7,2232,1.00,15624,7.03
POINT (-58.4833199151601 -34.5836593750163),19,Privado,Solar Térmico,Particular,Liverpool y Andonaegui,,200 lts,20 tubos Heat Pipe. Sistema compacto termosifónico.,SUSTENTATOR,2015,,,LIVERPOOL,,ANDONAEGUI,LIVERPOOL y ANDONAEGUI,Parque Chas,Comuna 15,1825,0.82,10950,4.93
POINT (-58.4667385789154 -34.6640667721026),20,Público,Solar Térmico,CIFA,Escalada y Castañares,,400 lts,"2 Colectores de placa plana de 2 m2, sistema forzado",VADEMARCO,2012,,repok/static/techosinteligentes/ID_2_SST.jpg,ESCALADA AV.,,CASTAÑARES AV.,ESCALADA AV. y CASTAÑARES AV.,Villa Soldati,Comuna 8,3650,1.64,32850,14.78
POINT (-58.4666633948189 -34.6640667745698),21,Público,Solar Térmico,CIFA,Escalada y Castañares,,200 lts,"1 Colector de placa plana de 1 m2, sistema compacto termosifónico",VADEMARCO,2009,,repok/static/techosinteligentes/ID_3_SST.jpg,ESCALADA AV.,,CASTAÑARES AV.,ESCALADA AV. y CASTAÑARES AV.,Villa Soldati,Comuna 8,1825,0.82,21900,9.86
POINT (-58.3781293253403 -34.6142171295477),22,Público,Solar Térmico,Defensoria del Pueblo,Venezuela 842,,150 lts,"1 Colector Vademarco MDIII, acumulador de 150 lts, con resistencia eléctrica.",VADEMARCO,2012,,repok/static/techosinteligentes/ID_4_SST.jpg,REPUBLICA BOLIVARIANA DE VENEZUELA,842,,REPUBLICA BOLIVARIANA DE VENEZUELA 842,Monserrat,Comuna 1,1460,0.66,13140,5.91
POINT (-58.3637021109675 -34.6329856115172),23,Público,Solar Térmico,"Escuela Media Nº 3, Distrito Escolar Nº 4","J. M. Blanes, Palos y Wenceslao Villafañe",,50 lts,10 tubos de vacio. Modelo Apricus,SKENTA,2014,,repok/static/techosinteligentes/ID_5_SST.jpg,PALOS,,"VILLAFAÑE, WENCESLAO","PALOS y VILLAFAÑE, WENCESLAO",Boca,Comuna 4,365,0.16,2555,1.15
POINT (-58.4406941379261 -34.5981121976932),24,Privado,Solar Térmico,Particular,Corrientes y Acevedo,,150 lts,"Sistema compacto. Tubos de vacío tricapa de vidrio-borosilicato. Tanque interno: Acero inoxidable, 0,41 mm de espesor. Tanque externo: Acero con recubrimiento de PVDF, espesor 0,41 mm.",SOLEVENTUS,2014,,,CORRIENTES AV.,,ACEVEDO,CORRIENTES AV. y ACEVEDO,Villa Crespo,Comuna 15,1460,0.66,10220,4.60
POINT (-58.4388010309785 -34.6481403225562),25,Público,Solar Térmico,Centro de Primera Infancia Pamperito,Av. Riestra y Camilo Torres M.28 C.47,,300 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2014,,repok/static/techosinteligentes/ID_12_SST.jpg,RIESTRA AV.,,"TORRES Y TENORIO, PRES.","RIESTRA AV. y TORRES Y TENORIO, PRES.",Parque Chacabuco,Comuna 7,2736,1.23,19152,8.62
POINT (-58.4384877064084 -34.6479758325263),26,Público,Solar Térmico,Comedor Comunitario Portal de Belén,"Av. Riestra y Matanza, M.28",,300 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2013,,repok/static/techosinteligentes/ID_13_SST.jpg,RIESTRA AV.,,MATANZA,RIESTRA AV. y MATANZA,Flores,Comuna 7,2736,1.23,21888,9.85
POINT (-58.4343136785761 -34.6494995515602),27,Público,Solar Térmico,Particular,M.3 C.448,,180 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2014,,repok/static/techosinteligentes/ID_7_SST.jpg,"TORRES Y TENORIO, Pres.",,"BARROS PAZOS, JOSE","TORRES Y TENORIO, PRES. y BARROS PAZOS, JOSE",Flores,Comuna 7,1642,0.74,11494,5.17
POINT (-58.434283038944 -34.6502091957348),28,Público,Solar Térmico,Particular,M.4 C.624,,180 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2014,,repok/static/techosinteligentes/ID_8_SST.jpg,"TORRES Y TENORIO, Pres.",,"MORENO, PERITO AV.","TORRES Y TENORIO, PRES. y MORENO, PERITO AV.",Flores,Comuna 7,1642,0.74,11494,5.17
POINT (-58.434488223669 -34.6502092433779),29,Público,Solar Térmico,Particular,M.4 C.616,,180 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2014,,repok/static/techosinteligentes/ID_9_SST.jpg,"TORRES Y TENORIO, Pres.",,"MORENO, PERITO AV.","TORRES Y TENORIO, PRES. y MORENO, PERITO AV.",Flores,Comuna 7,1642,0.74,11494,5.17
POINT (-58.4346326108036 -34.6502155567968),30,Público,Solar Térmico,Particular,M.4 C.578,,180 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2015,,repok/static/techosinteligentes/ID_10_SST.jpg,"TORRES Y TENORIO, Pres.",,"MORENO, PERITO AV.","TORRES Y TENORIO, PRES. y MORENO, PERITO AV.",Flores,Comuna 7,1642,0.74,9852,4.43
POINT (-58.4348377934437 -34.6502218839509),31,Público,Solar Térmico,Particular,M.4 C.574,,180 lts,"Colector placa plana, termosifónico. Sistema instalado split",VADEMARCO,2015,,repok/static/techosinteligentes/ID_11_SST.jpg,"TORRES Y TENORIO, Pres.",,"MORENO, PERITO AV.","TORRES Y TENORIO, PRES. y MORENO, PERITO AV.",Flores,Comuna 7,1642,0.74,9852,4.43
